dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,lastRain,passkey,time,loc,date,batt1volts,tz,historical,local_time
1763106660000,5.5923,16.5533,0.13,0.64,1,81,61.0,94,59.26,61.0,29.93,30.0031,0,0,5906,5315400,2025-11-14T07:51:00.000Z,7395c226de765e6694f274e64ffcfa1e,1763078400000,7395c226de765e6694f274e64ffcfa1e/daily/1763078400000.json,2025-11-13,,,,2025-11-13 23:51:00-08:00
1763105760000,6.7108,19.014,0.06,0.62,1,98,61.5,94,59.76,61.5,29.94,30.013,0,0,5906,5315400,2025-11-14T07:36:00.000Z,7395c226de765e6694f274e64ffcfa1e,1763078400000,7395c226de765e6694f274e64ffcfa1e/daily/1763078400000.json,2025-11-13,,,,2025-11-13 23:36:00-08:00
1763104860000,7.1582,15.4349,0.19,0.57,1,109,61.5,93,59.45,61.5,29.94,30.013,0,0,5906,5315400,2025-11-14T07:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1763078400000,7395c226de765e6694f274e64ffcfa1e/daily/1763078400000.json,2025-11-13,4.27,,,2025-11-13 23:21:00-08:00
1763103960000,8.053,22.5931,0.54,0.44,1,107,61.7,92,59.35,61.7,29.94,30.013,0,0,5906,5315400,2025-11-14T07:06:00.000Z,7395c226de765e6694f274e64ffcfa1e,1763078400000,7395c226de765e6694f274e64ffcfa1e/daily/1763078400000.json,2025-11-13,,,,2025-11-13 23:06:00-08:00
1763103060000,6.2634,19.685,0.35,0.35,1,94,62.2,90,59.23,62.2,29.93,30.0029,0,0,5906,5315400,2025-11-14T06:51:00.000Z,7395c226de765e6694f274e64ffcfa1e,1763078400000,7395c226de765e6694f274e64ffcfa1e/daily/1763078400000.json,2025-11-13,,,,2025-11-13 22:51:00-08:00
1763102160000,6.7108,16.5533,0.09,0.33,1,103,62.6,90,59.62,62.6,29.93,30.0029,0,0,5906,5315400,2025-11-14T06:36:00.000Z,7395c226de765e6694f274e64ffcfa1e,1763078400000,7395c226de765e6694f274e64ffcfa1e/daily/1763078400000.json,2025-11-13,,,,2025-11-13 22:36:00-08:00
1763101260000,6.9345,20.1324,0.03,0.32,1,99,62.6,90,59.62,62.6,29.93,30.0029,0,0,5906,5315400,2025-11-14T06:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1763078400000,7395c226de765e6694f274e64ffcfa1e/daily/1763078400000.json,2025-11-13,4.27,,,2025-11-13 22:21:00-08:00
1763100360000,7.3819,17.8955,0.0,0.32,1,102,62.8,91,60.13,62.8,29.93,30.0028,0,0,5906,5315400,2025-11-14T03:36:00.000Z,7395c226de765e6694f274e64ffcfa1e,1763078400000,7395c226de765e6694f274e64ffcfa1e/daily/1763078400000.json,2025-11-13,,,,2025-11-13 22:06:00-08:00
1763099460000,7.6056,18.5666,0.0,0.32,1,105,62.8,91,60.13,62.8,29.94,30.0128,0,0,5906,5315400,2025-11-14T03:36:00.000Z,7395c226de765e6694f274e64ffcfa1e,1763078400000,7395c226de765e6694f274e64ffcfa1e/daily/1763078400000.json,2025-11-13,,,,2025-11-13 21:51:00-08:00
1763098560000,7.3819,17.8955,0.0,0.32,1,109,63.3,89,60.0,63.3,29.94,30.0128,0,0,5906,5315400,2025-11-14T03:36:00.000Z,7395c226de765e6694f274e64ffcfa1e,1763078400000,7395c226de765e6694f274e64ffcfa1e/daily/1763078400000.json,2025-11-13,,,,2025-11-13 21:36:00-08:00
